ACC	AGE
SRR15314214	19
SRR15314215	37
SRR15314216	39
SRR15314217	29
SRR15314218	32
SRR15314219	41
SRR15314220	21
SRR15314221	25
SRR15314222	11
SRR15314223	50
SRR15314224	59
SRR15314225	31
SRR15314226	55
SRR15314227	20
SRR15314228	29
SRR15314229	14
SRR15314230	34
SRR15314231	50
SRR15314232	24
SRR15314233	22
SRR15314234	25
SRR15314235	16
SRR15314236	42
SRR15314237	28
SRR15314238	33
SRR15314239	62
SRR15314240	34
SRR15314241	16
SRR15314242	11
SRR15314243	41
SRR15314244	31
SRR15314245	22
SRR15314246	47
SRR15314247	22
SRR15314248	15
SRR15314249	35
SRR15314250	28
SRR15314251	34
SRR15314252	30
SRR15314253	34
SRR15314254	27
SRR15314255	19
SRR15314256	70
SRR15314257	21
SRR15314258	38
SRR15314259	35
SRR15314260	24
SRR15314261	24
SRR15314262	33
SRR15314263	18
SRR15314264	24
SRR15314265	39
SRR15314266	54
SRR15314267	30
SRR15314268	19
SRR15314269	33
SRR15314270	21
SRR15314271	30
SRR15314272	22
SRR15314273	11
SRR15314274	24
SRR15314275	26
SRR15314276	1
SRR15314277	16
SRR15314278	65
SRR15314279	29
SRR15314280	52
SRR15314281	9
SRR15314282	43
SRR15314283	54
SRR15314284	42
SRR15314285	28
SRR15314286	35
SRR15314287	62
SRR15314288	29
SRR15314289	77
SRR15314290	19
SRR15314291	15
SRR15314292	27
SRR15314293	42
SRR15314294	34
SRR15314295	6
SRR15314296	28
SRR15314297	22
SRR15314298	31
SRR15314299	41
SRR15314300	32
SRR15314301	21
SRR15314302	20
SRR15314303	32
SRR15314304	41
SRR15314305	29
SRR15314306	42
SRR15314307	20
SRR15314308	31
SRR15314309	18
SRR15314310	34
SRR15314311	56
SRR15314312	25
SRR15314313	44
SRR15314314	28
SRR15314315	26
SRR15314316	42
SRR15314317	33
SRR15314318	34
SRR15314319	52
SRR15314320	23
SRR15314321	44
SRR15314322	17
SRR15314323	26
SRR15314324	25
SRR15314325	53
SRR15314326	60
SRR15314327	31
SRR15314328	61
SRR15314329	66
SRR15314330	22
