ACC	GENDER
SRR15314214	male
SRR15314215	male
SRR15314216	male
SRR15314217	female
SRR15314218	female
SRR15314220	female
SRR15314221	female
SRR15314223	male
SRR15314224	male
SRR15314225	male
SRR15314227	female
SRR15314228	male
SRR15314229	male
SRR15314230	male
SRR15314232	female
SRR15314233	female
SRR15314235	female
SRR15314236	male
SRR15314237	male
SRR15314239	male
SRR15314241	male
SRR15314242	female
SRR15314243	male
SRR15314244	female
SRR15314247	male
SRR15314248	male
SRR15314249	female
SRR15314250	male
SRR15314251	male
SRR15314252	male
SRR15314253	male
SRR15314254	male
SRR15314255	male
SRR15314256	male
SRR15314257	female
SRR15314258	male
SRR15314259	male
SRR15314260	male
SRR15314261	female
SRR15314262	male
SRR15314263	male
SRR15314264	female
SRR15314265	male
SRR15314266	female
SRR15314267	male
SRR15314268	female
SRR15314269	female
SRR15314271	male
SRR15314272	female
SRR15314273	male
SRR15314274	male
SRR15314275	female
SRR15314276	male
SRR15314277	male
SRR15314278	female
SRR15314279	male
SRR15314280	male
SRR15314281	male
SRR15314282	female
SRR15314283	female
SRR15314284	female
SRR15314286	male
SRR15314287	female
SRR15314288	male
SRR15314290	male
SRR15314291	female
SRR15314292	female
SRR15314293	female
SRR15314294	female
SRR15314295	male
SRR15314296	female
SRR15314297	male
SRR15314298	male
SRR15314299	male
SRR15314301	male
SRR15314302	female
SRR15314303	male
SRR15314304	female
SRR15314305	female
SRR15314306	female
SRR15314307	female
SRR15314308	male
SRR15314309	female
SRR15314310	male
SRR15314311	male
SRR15314312	male
SRR15314313	female
SRR15314314	female
SRR15314315	female
SRR15314316	female
SRR15314318	male
SRR15314319	female
SRR15314320	male
SRR15314321	female
SRR15314322	female
SRR15314323	male
SRR15314324	male
SRR15314325	female
SRR15314326	male
SRR15314327	male
SRR15314328	male
SRR15314329	male
SRR15314330	female
SRR15314331	male
SRR15314332	female
SRR15314333	female
SRR15314334	male
SRR15314335	female
SRR15314337	male
SRR15314338	male
SRR15314339	female
SRR15314341	female
SRR15314342	female
SRR15314343	female
SRR15314344	male
SRR15314345	female
SRR15314347	male
SRR15314348	female
SRR15314349	female
SRR15314350	male
SRR15314351	female
SRR15314352	male
SRR15314353	female
SRR15314354	female
SRR15314355	female
SRR15314356	male
SRR15314357	male
SRR15314359	male
SRR15314360	male
SRR15314361	female
SRR15314362	male
SRR15314363	female
SRR15314364	female
SRR15314365	female
SRR15314366	male
SRR15314367	female
SRR15314368	male
SRR15314369	female
SRR15314370	male
SRR15314371	male
SRR15314372	female
SRR15314373	male
SRR15314374	female
SRR15314375	male
SRR15314376	male
SRR15314377	female
SRR15314379	male
SRR15314380	female
SRR15314381	male
SRR15314382	female
SRR15314383	male
SRR15314384	female
SRR15314386	male
SRR15314387	male
SRR15314388	female
SRR15314389	female
SRR15314390	male
SRR15314391	male
SRR15314392	male
SRR15314393	male
SRR15314394	male
SRR15314395	male
SRR15314396	male
SRR15314397	male
SRR15314398	female
SRR15314399	female
SRR15314400	male
SRR15314401	male
SRR15314402	female
SRR15314403	male
SRR15314404	female
SRR15314405	female
SRR15314406	male
SRR15314407	male
SRR15314408	male
SRR15314410	female
SRR15314411	male
SRR15314412	female
SRR15314413	male
SRR15314414	male
SRR15314415	male
SRR15314416	female
SRR15314417	female
SRR15314418	female
SRR15314419	female
SRR15314420	male
SRR15314421	male
SRR15314422	female
SRR15314423	male
SRR15314424	female
SRR15314425	male
SRR15314426	male
SRR15314427	female
SRR15314428	female
SRR15314429	female
SRR15314430	female
SRR15314431	male
SRR15314432	male
SRR15314433	male
SRR15314434	female
SRR15314435	male
SRR15314436	male
SRR15314437	male
SRR15314438	male
SRR15314440	male
SRR15314441	male
SRR15314442	male
SRR15314443	female
SRR15314444	male
SRR15314446	male
SRR15314448	male
SRR15314449	female
SRR15314450	male
SRR15314451	female
SRR15314454	male
SRR15314455	female
SRR15314456	male
SRR15314457	female
SRR15314458	male
SRR15314459	female
SRR15314460	female
SRR15314461	female
SRR15314462	female
SRR15314463	female
SRR15314465	female
SRR15314466	female
SRR15314467	male
SRR15314469	male
SRR15314472	female
SRR15314473	female
SRR15314474	male
SRR15314476	female
SRR15314477	male
SRR15314478	female
SRR15314479	female
SRR15314480	male
SRR15314481	female
SRR15314482	male
SRR15314483	female
SRR15314484	female
SRR15314485	female
SRR15314486	male
SRR15314487	male
SRR15314488	female
SRR15314489	male
SRR15314490	female
SRR15314492	female
SRR15314493	male
SRR15314494	female
SRR15314495	female
SRR15314496	male
SRR15314497	female
SRR15314499	male
SRR15314500	male
SRR15314501	female
SRR15314502	female
SRR15314503	male
SRR15314504	female
SRR15314505	male
SRR15314506	female
SRR15314507	male
SRR15314508	female
SRR15314510	male
SRR15314511	female
SRR15314512	male
SRR15314513	male
SRR15314514	male
SRR15314515	male
SRR15314516	male
SRR15314517	female
SRR15314518	female
SRR15314520	female
SRR15314522	male
SRR15314523	female
SRR15314524	female
SRR15314526	female
SRR15314527	male
SRR15314528	male
SRR15314529	male
SRR15314530	male
SRR15314534	male
SRR15314535	male
SRR15314536	female
SRR15314537	male
SRR15314538	male
SRR15314540	female
SRR15314541	female
SRR15314542	female
SRR15314543	female
SRR15314544	male
SRR15314545	female
SRR15314546	male
SRR15314547	male
SRR15314548	male
SRR15314549	male
SRR15314058	male
SRR15314059	female
SRR15314060	male
SRR15314061	male
SRR15314062	male
SRR15314063	male
SRR15314064	female
SRR15314066	female
SRR15314067	male
SRR15314068	male
SRR15314069	female
SRR15314070	male
SRR15314072	male
SRR15314074	female
SRR15314075	male
SRR15314077	female
SRR15314079	female
SRR15314082	female
SRR15314084	female
SRR15314085	male
SRR15314087	female
SRR15314091	male
SRR15314092	male
SRR15314093	female
SRR15314098	male
SRR15314099	female
SRR15314100	male
SRR15314101	male
SRR15314102	female
SRR15314103	female
SRR15314104	female
SRR15314105	female
SRR15314106	male
SRR15314107	female
SRR15314108	male
SRR15314109	male
SRR15314112	female
SRR15314113	male
SRR15314114	male
SRR15314116	male
SRR15314117	male
SRR15314119	male
SRR15314120	male
SRR15314122	male
SRR15314123	male
SRR15314124	female
SRR15314125	male
SRR15314126	female
SRR15314127	male
SRR15314129	male
SRR15314130	female
SRR15314131	female
SRR15314132	female
SRR15314133	female
SRR15314134	male
SRR15314135	male
SRR15314137	female
SRR15314138	female
SRR15314139	male
SRR15314140	female
SRR15314141	male
SRR15314144	female
SRR15314145	male
SRR15314147	male
SRR15314148	female
SRR15314149	female
SRR15314150	female
SRR15314151	female
SRR15314154	male
SRR15314155	male
SRR15314156	female
SRR15314157	male
SRR15314158	male
SRR15314160	female
SRR15314162	female
SRR15314163	female
SRR15314164	female
SRR15314166	male
SRR15314167	male
SRR15314168	female
SRR15314169	female
SRR15314170	female
SRR15314171	male
SRR15314172	male
SRR15314173	male
SRR15314174	female
SRR15314175	female
SRR15314177	male
SRR15314180	female
SRR15314181	female
SRR15314182	female
SRR15314183	female
SRR15314184	male
SRR15314185	female
SRR15314187	male
SRR15314190	female
SRR15314192	female
SRR15314193	male
SRR15314194	male
SRR15314195	female
SRR15314196	male
SRR15314198	male
SRR15314200	male
SRR15314202	male
SRR15314203	male
SRR15314205	female
SRR15314206	male
SRR15314207	male
SRR15314208	male
SRR15314209	male
SRR15314210	male
SRR15314211	female
SRR15314212	male
SRR15314213	male
SRR15313553	female
SRR15313554	male
SRR15313555	female
SRR15313557	male
SRR15313558	female
SRR15313559	male
SRR15313561	female
SRR15313562	male
SRR15313563	female
SRR15313564	male
SRR15313565	male
SRR15313566	female
SRR15313567	female
SRR15313568	female
SRR15313569	male
SRR15313570	male
SRR15313572	female
SRR15313573	male
SRR15313574	female
SRR15313575	female
SRR15313577	male
SRR15313578	female
SRR15313579	female
SRR15313581	female
SRR15313582	male
SRR15313583	male
SRR15313584	male
SRR15313585	male
SRR15313586	male
SRR15313587	female
SRR15313588	male
SRR15313589	female
SRR15313590	male
SRR15313591	male
SRR15313592	male
SRR15313593	female
SRR15313594	male
SRR15313595	female
SRR15313596	male
SRR15313598	female
SRR15313599	male
SRR15313600	female
SRR15313601	female
SRR15313602	female
SRR15313603	female
SRR15313604	female
SRR15313605	female
SRR15313606	female
SRR15313607	female
SRR15313608	female
SRR15313609	male
SRR15313610	male
SRR15313611	female
SRR15313612	male
SRR15313613	male
SRR15313614	male
SRR15313615	female
SRR15313616	female
SRR15313617	female
SRR15313618	male
SRR15313619	male
SRR15313620	female
SRR15313621	male
SRR15313622	male
SRR15313623	male
SRR15313624	male
SRR15313625	male
SRR15313626	male
SRR15313627	male
SRR15313628	male
SRR15313629	female
SRR15313630	male
SRR15313632	female
SRR15313633	female
SRR15313634	male
SRR15313636	female
SRR15313637	female
SRR15313638	female
SRR15313639	female
SRR15313640	male
SRR15313641	female
SRR15313642	male
SRR15313643	male
SRR15313644	male
SRR15313645	female
SRR15313646	male
SRR15313647	male
SRR15313648	female
SRR15313649	male
SRR15313651	female
SRR15313652	male
SRR15313653	male
SRR15313654	male
SRR15313655	female
SRR15313656	male
SRR15313657	male
SRR15313658	male
SRR15313659	female
SRR15313660	female
SRR15313661	male
SRR15313662	female
SRR15313663	male
SRR15313664	female
SRR15313665	male
SRR15313666	male
SRR15313667	male
SRR15313668	male
SRR15313669	female
SRR15313670	male
SRR15313672	male
SRR15313673	male
SRR15313675	female
SRR15313676	male
SRR15313677	female
SRR15313217	female
SRR15313218	female
SRR15313219	female
SRR15313220	male
SRR15313221	female
SRR15313222	male
SRR15313223	male
SRR15313224	male
SRR15313225	female
SRR15313226	female
SRR15313227	male
SRR15313228	female
SRR15313229	male
SRR15313230	female
SRR15313231	female
SRR15313232	male
SRR15313233	male
SRR15313236	female
SRR15313237	male
SRR15313238	female
SRR15313241	male
SRR15313242	male
SRR15313243	female
SRR15313244	female
SRR15313245	male
SRR15313246	male
SRR15313247	female
SRR15313251	female
SRR15313252	female
SRR15313254	female
SRR15313255	male
SRR15313257	female
SRR15313258	male
SRR15313259	male
SRR15313260	male
SRR15313261	female
SRR15313262	female
SRR15313263	male
SRR15313264	male
SRR15313265	female
SRR15313266	female
SRR15313267	male
SRR15313269	male
SRR15313270	female
SRR15313271	female
SRR15313272	male
SRR15313273	male
SRR15313274	female
SRR15313275	female
SRR15313276	male
SRR15313277	male
SRR15313279	female
SRR15313280	male
SRR15313281	female
SRR15313282	female
SRR15313283	male
SRR15313284	male
SRR15313285	female
SRR15313286	female
SRR15313288	female
SRR15313289	male
SRR15313290	male
SRR15313291	female
SRR15313293	female
SRR15313294	female
SRR15313295	female
SRR15313296	female
SRR15313297	male
SRR15313298	male
SRR15313299	female
SRR15313301	male
SRR15313302	female
SRR15313303	female
SRR15313304	female
SRR15313305	male
SRR15313307	male
SRR15313308	female
SRR15313309	female
SRR15313310	male
SRR15313311	male
SRR15313312	female
SRR15313313	female
SRR15313314	male
SRR15313315	female
SRR15313316	male
SRR15313317	male
SRR15313318	male
SRR15313319	female
SRR15313321	male
SRR15313322	male
SRR15313323	female
SRR15313324	male
SRR15313325	male
SRR15313326	male
SRR15313327	male
SRR15313328	male
SRR15313329	male
SRR15313330	male
SRR15313331	female
SRR15313332	female
SRR15313334	male
SRR15313335	female
SRR15313336	male
SRR15313337	male
SRR15313338	male
SRR15313339	female
SRR15313340	female
SRR15313341	female
SRR15313342	male
SRR15313343	male
SRR15313344	female
SRR15313345	female
SRR15313346	female
SRR15313347	male
SRR15313348	female
SRR15313349	male
SRR15313350	female
SRR15313352	female
SRR15313353	male
SRR15313355	female
SRR15313356	female
SRR15313357	male
SRR15313361	male
SRR15313362	male
SRR15313363	female
SRR15313364	male
SRR15313365	male
SRR15313366	male
SRR15313367	female
