ACC	GISAID
SRR15296648	EPI_ISL_3127157
SRR15296671	EPI_ISL_3127124
SRR15296675	EPI_ISL_3127181
SRR15283267	EPI_ISL_3025055
SRR15283286	EPI_ISL_3025038
SRR15225404	EPI_ISL_1760649
SRR15225405	EPI_ISL_1750957
SRR15225406	EPI_ISL_1750958
SRR15225407	EPI_ISL_1750960
SRR15225408	EPI_ISL_1599183
SRR15225409	EPI_ISL_1599182
SRR15225410	EPI_ISL_1498148
SRR15225411	EPI_ISL_1498147
SRR15225412	EPI_ISL_1760650
SRR15225413	EPI_ISL_1750959
SRR15225414	EPI_ISL_1498152
SRR15219695	EPI_ISL_1750962
SRR15219696	EPI_ISL_1750961
SRR15219699	EPI_ISL_1599183
SRR15219702	EPI_ISL_1760648
SRR15219705	EPI_ISL_1750956
SRR15219706	EPI_ISL_1657088
SRR15219707	EPI_ISL_1657087
SRR15219708	EPI_ISL_1669907
SRR15219709	EPI_ISL_1657086
SRR15219710	EPI_ISL_1498148
SRR15219711	EPI_ISL_1657085
SRR15219712	EPI_ISL_1669906
SRR15219713	EPI_ISL_1657084
SRR15219714	EPI_ISL_1669905
SRR15219715	EPI_ISL_1669904
SRR15219716	EPI_ISL_1657083
SRR15219717	EPI_ISL_1669903
SRR15219718	EPI_ISL_1657082
SRR15219719	EPI_ISL_1669902
SRR15219720	EPI_ISL_1657081
SRR15219721	EPI_ISL_1498133
SRR15219722	EPI_ISL_1657080
SRR15219723	EPI_ISL_1657079
SRR15219724	EPI_ISL_1657078
SRR15219725	EPI_ISL_1657077
SRR15219726	EPI_ISL_1657076
SRR15219727	EPI_ISL_1657075
SRR15219728	EPI_ISL_1587447
SRR15219729	EPI_ISL_1587446
SRR15219730	EPI_ISL_1593855
SRR15219731	EPI_ISL_1587445
SRR15219732	EPI_ISL_1599182
SRR15219733	EPI_ISL_1587444
SRR15219734	EPI_ISL_1587443
SRR15219735	EPI_ISL_1587442
SRR15219736	EPI_ISL_1587441
SRR15219737	EPI_ISL_1587440
SRR15219738	EPI_ISL_1587439
SRR15219739	EPI_ISL_1587438
SRR15219740	EPI_ISL_1587437
SRR15219741	EPI_ISL_1587436
SRR15219742	EPI_ISL_1587435
SRR15219743	EPI_ISL_1498147
SRR15219744	EPI_ISL_1587434
SRR15219745	EPI_ISL_1593854
SRR15219746	EPI_ISL_1587433
SRR15219747	EPI_ISL_1587432
SRR15219748	EPI_ISL_1587431
SRR15219749	EPI_ISL_1587430
SRR15219750	EPI_ISL_1593853
SRR15219751	EPI_ISL_1587429
SRR15219752	EPI_ISL_1575127
SRR15219753	EPI_ISL_1582397
SRR15219754	EPI_ISL_1599181
SRR15219755	EPI_ISL_1582396
SRR15219756	EPI_ISL_1582395
SRR15219757	EPI_ISL_1582394
SRR15219758	EPI_ISL_1582393
SRR15219759	EPI_ISL_1582392
SRR15219760	EPI_ISL_1582391
SRR15219761	EPI_ISL_1582390
SRR15219762	EPI_ISL_1498149
SRR15219763	EPI_ISL_1498141
SRR15219764	EPI_ISL_1498140
SRR15219765	EPI_ISL_1498142
SRR15219766	EPI_ISL_1498139
SRR15219767	EPI_ISL_1498150
SRR15219768	EPI_ISL_1498151
SRR15219769	EPI_ISL_1498138
SRR15219770	EPI_ISL_1498132
SRR15219771	EPI_ISL_1498127
SRR15219772	EPI_ISL_1498145
SRR15219773	EPI_ISL_1498136
SRR15219774	EPI_ISL_1498131
SRR15219775	EPI_ISL_1498137
SRR15219776	EPI_ISL_1498146
SRR15219777	EPI_ISL_1498126
SRR15219778	EPI_ISL_1498128
SRR15219779	EPI_ISL_1498135
SRR15219780	EPI_ISL_1498143
SRR15219781	EPI_ISL_1599187
SRR15219782	EPI_ISL_1599186
SRR15219783	EPI_ISL_1599185
SRR15219784	EPI_ISL_1498144
SRR15219785	EPI_ISL_1498130
SRR15219786	EPI_ISL_1599184
SRR15219788	EPI_ISL_1498134
SRR15216041	EPI_ISL_3029841
SRR15216042	EPI_ISL_1372288
SRR15216043	EPI_ISL_1372287
SRR15216044	EPI_ISL_1039159
SRR15216045	EPI_ISL_596228
SRR15216046	EPI_ISL_3029842
SRR15196426	EPI_ISL_3007744
SRR15196427	EPI_ISL_3007743
SRR15196428	EPI_ISL_3007742
SRR15196429	EPI_ISL_3007741
SRR15196430	EPI_ISL_3007737
SRR15196431	EPI_ISL_3007655
SRR15196432	EPI_ISL_3007654
SRR15196433	EPI_ISL_3007653
SRR15196434	EPI_ISL_3007746
SRR15196435	EPI_ISL_3007651
SRR15196436	EPI_ISL_3007650
SRR15115722	EPI_ISL_2550805
SRR15115723	EPI_ISL_2550804
SRR15115724	EPI_ISL_2550803
SRR15115725	EPI_ISL_2550802
SRR15115726	EPI_ISL_2550801
SRR15115727	EPI_ISL_2550800
SRR15115728	EPI_ISL_2550799
SRR15115729	EPI_ISL_2550798
SRR15115730	EPI_ISL_2550814
SRR15115731	EPI_ISL_2550813
SRR15115732	EPI_ISL_2550812
SRR15115733	EPI_ISL_2550811
SRR15115734	EPI_ISL_2550810
SRR15115735	EPI_ISL_2550809
SRR15115736	EPI_ISL_2550808
SRR15115737	EPI_ISL_2550807
SRR15115738	EPI_ISL_2550806
SRR15115739	EPI_ISL_2550797
SRR15115740	EPI_ISL_2550796
SRR15115506	EPI_ISL_2550818
SRR15115507	EPI_ISL_2550817
SRR15115508	EPI_ISL_2550816
SRR15115509	EPI_ISL_2550815
SRR15115510	EPI_ISL_2550822
SRR15115511	EPI_ISL_2550821
SRR15115512	EPI_ISL_2550820
SRR15115513	EPI_ISL_2550819
SRR15070182	EPI_ISL_2604832
SRR15070183	EPI_ISL_2604831
SRR15070184	EPI_ISL_2604830
SRR15070185	EPI_ISL_2604829
SRR15070186	EPI_ISL_2604828
SRR15070187	EPI_ISL_2604865
SRR15070188	EPI_ISL_2604864
SRR15070189	EPI_ISL_2604863
SRR15070190	EPI_ISL_2604862
SRR15070191	EPI_ISL_2604827
SRR15070192	EPI_ISL_2604861
SRR15070193	EPI_ISL_2604860
SRR15070194	EPI_ISL_2604859
SRR15070195	EPI_ISL_2604858
SRR15070196	EPI_ISL_2604857
SRR15070197	EPI_ISL_2604856
SRR15070198	EPI_ISL_2604855
SRR15070199	EPI_ISL_2604854
SRR15070201	EPI_ISL_2604853
SRR15070202	EPI_ISL_2604826
SRR15070203	EPI_ISL_2604852
SRR15070204	EPI_ISL_2604851
SRR15070205	EPI_ISL_2604850
SRR15070206	EPI_ISL_2604849
SRR15070207	EPI_ISL_2604848
SRR15070208	EPI_ISL_2604847
SRR15070209	EPI_ISL_2604846
SRR15070210	EPI_ISL_2604845
SRR15070211	EPI_ISL_2604844
SRR15070212	EPI_ISL_2604843
SRR15070213	EPI_ISL_2604825
SRR15070214	EPI_ISL_2604842
SRR15070215	EPI_ISL_2604841
SRR15070216	EPI_ISL_2604841
SRR15070217	EPI_ISL_2604839
SRR15070218	EPI_ISL_2604838
SRR15070219	EPI_ISL_2604837
SRR15070220	EPI_ISL_2604836
SRR15070221	EPI_ISL_2604835
SRR15070222	EPI_ISL_2604834
SRR15070223	EPI_ISL_2604833
SRR15070224	EPI_ISL_2604824
SRR15070225	EPI_ISL_2604823
SRR15068970	EPI_ISL_2603865
SRR15068971	EPI_ISL_2603864
SRR15068973	EPI_ISL_2603863
SRR15068974	EPI_ISL_2603862
SRR15068975	EPI_ISL_2603897
SRR15068976	EPI_ISL_2603896
SRR15068977	EPI_ISL_2603895
SRR15068978	EPI_ISL_2603861
SRR15068979	EPI_ISL_2603894
SRR15068980	EPI_ISL_2603893
SRR15068981	EPI_ISL_2603892
SRR15068982	EPI_ISL_2603891
SRR15068983	EPI_ISL_2603890
SRR15068984	EPI_ISL_2603889
SRR15068985	EPI_ISL_2603888
SRR15068986	EPI_ISL_2603887
SRR15068987	EPI_ISL_2603886
SRR15068988	EPI_ISL_2603885
SRR15068989	EPI_ISL_2603860
SRR15068990	EPI_ISL_2603884
SRR15068991	EPI_ISL_2603883
SRR15068992	EPI_ISL_2603882
SRR15068993	EPI_ISL_2603881
SRR15068994	EPI_ISL_2603880
SRR15068995	EPI_ISL_2603879
SRR15068996	EPI_ISL_2603878
SRR15068997	EPI_ISL_2603877
SRR15068998	EPI_ISL_2603876
SRR15068999	EPI_ISL_2603875
SRR15069000	EPI_ISL_2603859
SRR15069001	EPI_ISL_2603874
SRR15069002	EPI_ISL_2603873
SRR15069003	EPI_ISL_2603872
SRR15069004	EPI_ISL_2603871
SRR15069006	EPI_ISL_2603870
SRR15069007	EPI_ISL_2603869
SRR15069008	EPI_ISL_2603868
SRR15069009	EPI_ISL_2603867
SRR15069010	EPI_ISL_2603866
SRR15069011	EPI_ISL_2603858
SRR15003081	EPI_ISL_1819269
