ACC	LAT_LON
SRR15296648	35.0967 N 106.6313 W
SRR15296671	35.0967 N 106.6313 W
SRR15296675	35.0967 N 106.6313 W
SRR15275879	43.698 N 7.252 E
SRR15275880	43.704 N 7.256 E
SRR15275881	43.700 N 7.259 E
SRR15275882	43.699 N 7.265 E
SRR15275883	43.700 N 7.268 E
SRR15275884	43.700 N 7.275 E
SRR15275885	43.700 N 7.275 E
SRR15275886	43.703 N 7.275 E
SRR15275887	43.699 N 7.285 E
SRR15275888	43.737 N 7.299 E
SRR15275889	43.743 N 7.302 E
SRR15275890	43.677 N 7.229 E
SRR15275891	43.677 N 7.229 E
SRR15275892	43.677 N 7.230 E
SRR15275893	43.677 N 7.229 E
SRR15275894	43.677 N 7.230 E
SRR15275895	43.665 N 7.201 E
SRR15275896	43.674 N 7.204 E
SRR15275897	43.681 N 7.229 E
SRR15275898	43.688 N 7.230 E
SRR15275899	43.693 N 7.241 E
SRR15275900	43.696 N 7.239 E
SRR15275901	43.681 N 7.229 E
SRR15275902	43.698 N 7.252 E
SRR15275903	43.704 N 7.256 E
SRR15275904	43.700 N 7.259 E
SRR15275905	43.699 N 7.265 E
SRR15275906	43.720 N 7.261 E
SRR15275907	43.700 N 7.275 E
SRR15275908	43.700 N 7.268 E
SRR15275909	43.703 N 7.275 E
SRR15275910	43.697 N 7.277 E
SRR15275911	43.699 N 7.285 E
SRR15275912	43.688 N 7.230 E
SRR15275913	43.703 N 7.275 E
SRR15275914	43.699 N 7.285 E
SRR15275915	43.731 N 7.249 E
SRR15275916	43.729 N 7.285 E
SRR15275917	43.736 N 7.296 E
SRR15275918	43.677 N 7.229 E
SRR15275919	43.674 N 7.204 E
SRR15275920	43.677 N 7.230 E
SRR15275921	43.665 N 7.201 E
SRR15275922	43.681 N 7.229 E
SRR15275923	43.688 N 7.230 E
SRR15275924	43.693 N 7.241 E
SRR15275925	43.696 N 7.239 E
SRR15275926	43.696 N 7.239 E
SRR15275927	43.698 N 7.252 E
SRR15275928	43.704 N 7.256 E
SRR15275929	43.700 N 7.259 E
SRR15275930	43.699 N 7.265 E
SRR15275931	43.720 N 7.261 E
SRR15275932	43.700 N 7.275 E
SRR15275933	43.700 N 7.268 E
SRR15275934	43.703 N 7.275 E
SRR15275935	43.697 N 7.277 E
SRR15275936	43.693 N 7.241 E
SRR15275937	43.699 N 7.285 E
SRR15275938	43.731 N 7.249 E
SRR15275939	43.729 N 7.285 E
SRR15275940	43.736 N 7.296 E
SRR15275941	43.677 N 7.229 E
SRR15275942	43.729 N 7.285 E
SRR15275943	43.731 N 7.249 E
SRR15275944	43.674 N 7.204 E
SRR15275945	43.736 N 7.296 E
SRR15275946	43.677 N 7.229 E
SRR15275947	43.698 N 7.252 E
SRR15275948	43.677 N 7.229 E
SRR15275949	43.665 N 7.201 E
SRR15275950	43.677 N 7.230 E
SRR15275951	43.681 N 7.229 E
SRR15275952	43.688 N 7.230 E
SRR15275953	43.696 N 7.239 E
SRR15275954	43.693 N 7.241 E
SRR15275955	43.698 N 7.252 E
SRR15275956	43.704 N 7.256 E
SRR15275957	43.700 N 7.259 E
SRR15275958	43.704 N 7.256 E
SRR15275959	43.699 N 7.265 E
SRR15275960	43.700 N 7.268 E
SRR15275961	43.700 N 7.268 E
SRR15275962	43.700 N 7.275 E
SRR15275963	43.703 N 7.275 E
SRR15275964	43.699 N 7.285 E
SRR15275965	43.677 N 7.229 E
SRR15275966	43.731 N 7.249 E
SRR15275967	43.665 N 7.201 E
SRR15275968	43.674 N 7.204 E
SRR15275969	43.700 N 7.259 E
SRR15275970	43.696 N 7.239 E
SRR15275971	43.736 N 7.296 E
SRR15275972	43.693 N 7.241 E
SRR15275973	43.677 N 7.230 E
SRR15275974	43.729 N 7.285 E
SRR15275975	43.681 N 7.229 E
SRR15275976	43.688 N 7.230 E
SRR15275977	43.704 N 7.256 E
SRR15275978	43.698 N 7.252 E
SRR15275979	43.700 N 7.259 E
SRR15275980	43.699 N 7.265 E
SRR15275981	43.700 N 7.268 E
SRR15275982	43.699 N 7.265 E
SRR15275983	43.700 N 7.275 E
SRR15275984	43.703 N 7.275 E
SRR15275985	43.699 N 7.285 E
SRR15275986	43.677 N 7.229 E
SRR15275987	43.731 N 7.249 E
SRR15275988	43.674 N 7.204 E
SRR15275989	43.736 N 7.296 E
SRR15275990	43.665 N 7.201 E
SRR15275991	43.700 N 7.268 E
SRR15275992	43.677 N 7.230 E
SRR15275993	43.681 N 7.229 E
SRR15275994	43.688 N 7.230 E
SRR15275995	43.696 N 7.239 E
SRR15275996	43.693 N 7.241 E
SRR15239083	35.0967 N 106.6313 W
SRR15239084	35.0967 N 106.6313 W
SRR15239085	35.0967 N 106.6313 W
SRR15239086	35.0967 N 106.6313 W
SRR15239087	35.0967 N 106.6313 W
SRR15239088	35.0967 N 106.6313 W
SRR15239089	35.0967 N 106.6313 W
SRR15239090	35.0967 N 106.6313 W
SRR15239091	35.0967 N 106.6313 W
SRR15239092	35.0967 N 106.6313 W
SRR15239093	35.0967 N 106.6313 W
SRR15239094	35.0967 N 106.6313 W
SRR15239095	35.0967 N 106.6313 W
SRR15239096	35.0967 N 106.6313 W
SRR15239097	35.0967 N 106.6313 W
SRR15239098	35.0967 N 106.6313 W
SRR15239099	35.0967 N 106.6313 W
SRR15239100	35.0967 N 106.6313 W
SRR15239101	35.0967 N 106.6313 W
SRR15239102	35.0967 N 106.6313 W
SRR15239103	35.0967 N 106.6313 W
SRR15239104	35.0967 N 106.6313 W
SRR15239105	35.0967 N 106.6313 W
SRR15239106	35.0967 N 106.6313 W
SRR15239107	35.0967 N 106.6313 W
SRR15239108	35.0967 N 106.6313 W
SRR15239109	35.0967 N 106.6313 W
SRR15239110	35.0967 N 106.6313 W
SRR15239111	35.0967 N 106.6313 W
SRR15239112	35.0967 N 106.6313 W
