SEQ_TYPE	PRIMER	SEQ_TECH	ACC
AMPLICON	ARTIC-V3	Others	ERR4760018
AMPLICON	ARTIC-V3	Others	ERR4759992
AMPLICON	ARTIC-V3	Others	ERR4759944
AMPLICON	ARTIC-V3	Others	ERR4759751
AMPLICON	ARTIC-V3	Others	ERR4759697
AMPLICON	ARTIC-V3	Others	ERR4759695
AMPLICON	ARTIC-V3	Others	ERR4759649
AMPLICON	ARTIC-V3	Others	ERR4759499
AMPLICON	ARTIC-V3	Others	ERR4759483
AMPLICON	ARTIC-V3	Others	ERR4759398
AMPLICON	ARTIC-V3	Others	ERR4759291
AMPLICON	ARTIC-V3	Others	ERR4759284
AMPLICON	ARTIC-V3	Others	ERR4759105
AMPLICON	ARTIC-V3	Others	ERR4759104
AMPLICON	ARTIC-V3	Others	ERR4759059
AMPLICON	ARTIC-V3	Others	ERR4758980
AMPLICON	ARTIC-V3	Others	ERR4758913
AMPLICON	ARTIC-V3	Others	ERR4758910
AMPLICON	ARTIC-V3	Others	ERR4758806
AMPLICON	ARTIC-V3	Others	ERR4758590
AMPLICON	ARTIC-V3	Others	ERR4758419
AMPLICON	ARTIC-V3	Others	ERR4758362
AMPLICON	ARTIC-V3	Others	ERR4758339
AMPLICON	ARTIC-V3	Others	ERR4758181
AMPLICON	ARTIC-V3	Others	ERR4758086
AMPLICON	ARTIC-V3	Others	ERR4694170
AMPLICON	ARTIC-V3	Others	ERR4693996
AMPLICON	ARTIC-V3	Others	ERR4693933
AMPLICON	ARTIC-V3	Others	ERR4693841
AMPLICON	ARTIC-V3	Others	ERR4693579
AMPLICON	ARTIC-V3	Others	ERR4693180
AMPLICON	ARTIC-V3	Others	ERR4693087
AMPLICON	ARTIC-V3	Others	ERR4693076
AMPLICON	ARTIC-V3	Others	ERR4692476
AMPLICON	ARTIC-V3	Others	ERR4692475
AMPLICON	ARTIC-V3	Others	ERR4366751
AMPLICON	ARTIC-V3	Others	ERR4366705
AMPLICON	ARTIC-V3	Others	ERR4366672
AMPLICON	ARTIC-V3	Others	ERR4366503
AMPLICON	ARTIC-V3	Others	ERR4366475
AMPLICON	ARTIC-V3	Others	ERR4366346
AMPLICON	ARTIC-V3	Others	ERR4366250
AMPLICON	ARTIC-V3	Others	ERR4366182
AMPLICON	ARTIC-V3	Others	ERR4366162
AMPLICON	ARTIC-V3	Others	ERR4366100
AMPLICON	ARTIC-V3	Others	ERR4806232
AMPLICON	ARTIC-V3	Others	ERR4806145
AMPLICON	ARTIC-V3	Others	ERR4808281
AMPLICON	ARTIC-V3	Others	ERR4807511
AMPLICON	ARTIC-V3	Others	ERR4807495
AMPLICON	ARTIC-V3	Others	ERR4807282
AMPLICON	ARTIC-V3	Others	ERR4807232
AMPLICON	ARTIC-V3	Others	ERR4807030
AMPLICON	ARTIC-V3	Others	ERR4806953
AMPLICON	ARTIC-V3	Others	ERR4806868
